n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,2000,13,1.217665336,7.67E-08,2.945329809,1.46E-08,0.778288508,6.46E-204,47.32
1,2000,14,1.259991621,3.21E-08,3.015895819,1.78E-08,0.802881097,1.97E-226,41.2
1,2000,15,1.401843191,3.38E-08,2.634214529,7.94E-11,0.793765473,9.95E-218,54.75
1,2000,16,1.220327893,4.08E-08,2.835128261,3.35E-08,0.766988417,1.61E-194,45.87
1,2000,17,1.324412406,6.12E-08,3.138898139,4.97E-09,0.778781836,2.44E-204,45.29
1,2000,18,1.24081439,5.20E-08,3.17429576,2.57E-09,0.763052679,2.28E-191,40.64
1,2000,19,1.260634967,3.79E-07,3.422881794,2.57E-09,0.774772965,6.20E-201,41.27
1,2000,20,1.251805585,2.94E-08,2.895456234,4.98E-09,0.773225495,1.23E-199,35.34
1,2000,21,1.305122909,2.84E-07,2.766812833,6.55E-08,0.797551426,2.74E-221,47.99
1,2000,22,1.31870991,3.89E-07,3.078417128,2.61E-09,0.804430084,5.89E-228,48.76
1,2000,23,1.176983685,2.79E-08,3.163488727,4.14E-08,0.761204423,6.53E-190,45.55
1,2000,24,1.40206521,1.62E-08,2.48565287,8.22E-10,0.797225035,5.59E-221,64.37
1,2000,25,1.314282073,1.45E-07,3.041960565,4.46E-08,0.794375621,2.69E-218,46.38
1,2000,26,1.306598306,3.70E-07,2.800226117,2.83E-08,0.791294317,1.91E-215,49.89
1,2000,27,1.3012313,4.87E-09,2.856022974,1.86E-10,0.78381215,1.03E-208,45.72
1,2000,28,1.232668386,8.62E-08,2.962463184,1.20E-07,0.779465947,6.30E-205,45.39
1,2000,29,1.181826073,1.17E-07,2.6203612,6.77E-07,0.76780435,3.53E-195,46.23
1,2000,30,1.23756997,1.38E-06,2.827768539,3.29E-09,0.807224228,9.67E-231,52.74
1,2000,31,1.329233961,1.02E-06,2.783655659,5.39E-08,0.800173581,8.44E-224,58.64
1,2000,32,1.378333528,5.07E-07,2.498421638,3.33E-07,0.77112901,6.72E-198,51.58
1,2000,33,1.389444566,2.60E-08,2.676679584,6.16E-09,0.785298428,4.97E-210,57.32
1,2000,34,1.326446165,2.90E-07,3.120688428,1.40E-09,0.781555371,9.76E-207,47.9
1,2000,35,1.34796385,5.07E-08,2.984567015,6.85E-09,0.797747541,1.78E-221,50.43
1,2000,36,1.291990656,4.35E-08,2.941164506,4.73E-09,0.819209242,3.17E-243,40.92
1,2000,37,1.282291188,1.39E-07,2.58721633,8.04E-08,0.814371466,4.46E-238,44.3
1,2000,38,1.23119655,1.80E-07,2.893829126,2.06E-08,0.783532681,1.81E-208,44.45
1,2000,39,1.349314467,2.46E-07,2.953725458,4.97E-09,0.809967935,1.61E-233,51.55
1,2000,40,1.288141615,1.66E-07,2.977664399,7.31E-10,0.762638186,4.84E-191,40.53
1,2000,41,1.299340233,1.65E-07,2.807395028,1.70E-09,0.789032926,2.21E-213,49.46
1,2000,42,1.230646922,2.18E-08,3.166982322,1.06E-10,0.774727128,6.78E-201,40.11
1,2000,43,1.278145988,1.37E-07,2.996065972,4.08E-09,0.780671685,5.72E-206,42.46
1,2000,44,1.255887723,3.95E-08,2.985335253,6.60E-10,0.767619592,4.98E-195,42.24
1,2000,45,1.309493787,3.88E-09,2.93171574,3.00E-08,0.793649842,1.27E-217,44.47
1,2000,46,1.210923932,3.48E-08,3.26461285,1.13E-10,0.781230318,1.87E-206,41.09
1,2000,47,1.219452129,8.48E-08,3.098405131,8.55E-09,0.741085461,7.35E-175,35.61
1,2000,48,1.330503652,1.09E-07,2.523105578,1.59E-08,0.804795844,2.56E-228,53.23
1,2000,49,1.368104074,2.81E-08,2.979779983,2.74E-10,0.797290702,4.84E-221,45.13
1,2000,50,1.276022913,2.00E-07,3.127255616,1.95E-09,0.788857032,3.19E-213,50.58
1,5000,1,1.319894714,1.30E-07,3.009981776,9.40E-08,0.798098384,8.25E-222,77.15
1,5000,2,1.247344308,7.21E-09,3.008650217,8.02E-11,0.777182729,5.68E-203,54.27
1,5000,3,1.314790785,1.61E-08,3.025895822,1.52E-10,0.798024048,9.72E-222,65.12
1,5000,4,1.30488681,1.63E-08,2.804797122,1.95E-08,0.818945651,6.10E-243,74.88
1,5000,5,1.383804432,6.06E-08,2.772133664,1.42E-08,0.791698878,8.12E-216,89.06
1,5000,6,1.392428474,1.86E-06,2.820178,7.16E-09,0.805101518,1.27E-228,101.44
1,5000,7,1.272232319,8.97E-08,3.110448225,1.29E-08,0.791510786,1.21E-215,66.47
