n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,2000,13,1.020234891,1.16E-64,1.787013662,8.61E-11,0.545420093,1.40E-78,50.25
1,2000,14,1.02530807,6.05E-62,1.789155911,6.41E-17,0.490644108,1.07E-61,42.95
1,2000,15,1.014964587,1.00E-63,2.023213058,2.83E-09,0.612059674,7.79E-104,59.14
1,2000,16,1.030108981,5.47E-57,1.927248528,1.00E-08,0.559883484,1.40E-83,54.38
1,2000,17,1.024992179,1.07E-61,2.015358631,1.59E-09,0.553510529,2.40E-81,44.43
1,2000,18,1.018235573,1.02E-56,1.87335956,5.27E-09,0.500500538,1.63E-64,39.91
1,2000,19,1.019540145,1.95E-53,1.919796196,3.80E-07,0.521097428,1.06E-70,43.08
1,2000,20,1.018141789,2.20E-59,1.943414037,7.88E-09,0.586832943,1.40E-93,42.58
1,2000,21,1.025490896,4.02E-58,2.00688589,6.98E-10,0.552885573,3.95E-81,51.93
1,2000,22,1.008368412,2.89E-70,2.177666065,2.14E-12,0.608370748,2.81E-102,46.94
1,2000,23,1.018782155,1.78E-58,1.973845818,1.51E-11,0.505771437,4.66E-66,41.14
1,2000,24,1.024785505,1.37E-65,1.82301357,6.20E-10,0.552194165,6.84E-81,53.05
1,2000,25,1.021931731,1.21E-69,1.988432736,7.31E-12,0.565068841,1.96E-85,42.41
1,2000,26,1.02155615,2.20E-62,1.990127595,2.35E-08,0.539661929,1.17E-76,50.25
1,2000,27,1.022750615,2.70E-68,2.190450813,2.01E-13,0.515566031,5.34E-69,40.03
1,2000,28,1.028414416,7.64E-74,1.873182029,2.21E-11,0.504320754,1.25E-65,44.61
1,2000,29,1.028067176,2.82E-60,1.724318891,6.73E-07,0.541691899,2.49E-77,48.65
1,2000,30,1.011231827,3.54E-54,1.693281833,2.89E-07,0.550977931,1.79E-80,45.08
1,2000,31,1.019438818,1.77E-62,1.988528915,9.57E-09,0.551809277,9.29E-81,58.48
1,2000,32,1.023601741,5.02E-57,1.813721434,1.54E-07,0.527203867,1.28E-72,50.77
1,2000,33,1.029556432,9.91E-57,1.555348858,6.63E-06,0.579094042,1.30E-90,56.11
1,2000,34,1.019598249,1.10E-54,1.865038469,7.22E-08,0.545688025,1.14E-78,49.91
1,2000,35,1.017811806,1.02E-64,1.953617279,4.29E-13,0.512926665,3.39E-68,46.07
1,2000,36,1.021062916,7.85E-69,2.017948737,2.18E-10,0.610956252,2.29E-103,49.66
1,2000,37,1.021357661,3.15E-59,1.743801062,7.04E-07,0.609564905,8.85E-103,47.06
1,2000,38,1.021293031,6.31E-60,1.570200101,5.08E-07,0.530852009,8.74E-74,49.83
1,2000,39,1.02614078,1.91E-60,1.708197585,1.19E-09,0.499836431,2.54E-64,47.52
1,2000,40,1.026250116,1.97E-54,1.793387602,4.88E-11,0.479923992,9.69E-59,44.14
1,2000,41,1.019186911,5.79E-70,1.885726406,7.93E-13,0.562581311,1.54E-84,51.93
1,2000,42,1.008205768,6.38E-66,2.100606786,3.97E-11,0.529620733,2.17E-73,47.46
1,2000,43,1.031702037,7.68E-66,1.950228982,7.15E-10,0.563214093,9.12E-85,44.95
1,2000,44,1.019823295,3.92E-59,1.762506382,1.10E-10,0.519299877,3.81E-70,47.39
1,2000,45,1.02563369,1.78E-56,1.829538854,1.21E-07,0.536982846,8.95E-76,47.83
1,2000,46,1.016489628,2.50E-64,2.058233791,6.66E-11,0.564742971,2.57E-85,40.78
1,2000,47,1.027525576,1.17E-59,2.027944869,3.00E-09,0.449147478,8.32E-51,41.19
1,2000,48,1.024356432,1.41E-71,1.703049983,4.30E-09,0.527831198,8.07E-73,56.69
1,2000,49,1.019643947,9.59E-60,2.126663577,6.73E-10,0.545163349,1.71E-78,41.62
1,2000,50,1.019391032,2.42E-64,2.199161389,1.22E-14,0.552850646,4.06E-81,48.2
1,5000,1,1.02528991,6.58E-58,2.072417382,2.41E-10,0.571603822,8.14E-88,72.49
1,5000,2,1.015500672,8.08E-68,2.029059985,3.43E-11,0.551049752,1.70E-80,59.42
1,5000,3,1.021643976,2.41E-63,2.171744199,2.43E-12,0.490533541,1.14E-61,48.91
1,5000,4,1.019460788,1.43E-58,2.157327157,2.00E-10,0.598882768,2.30E-98,74.7
1,5000,5,1.032923168,7.38E-55,2.03124372,1.49E-10,0.594952456,8.78E-97,85.03
1,5000,6,1.019751645,2.56E-60,2.073171267,1.78E-10,0.620867028,1.23E-107,96.92
1,5000,7,1.019444326,2.35E-54,2.006783406,2.54E-06,0.514790405,9.21E-69,71.91
1,5000,8,1.019970113,6.95E-57,1.914634621,3.95E-10,0.396997668,4.30E-39,45.17
1,5000,9,1.024067818,4.85E-62,2.099004679,2.05E-14,0.528487965,4.99E-73,67.49
1,5000,10,1.013582681,4.26E-58,2.455029726,1.24E-11,0.580960937,2.53E-91,66.29
1,5000,11,1.021753616,5.75E-60,1.91508724,1.18E-08,0.510414784,1.93E-67,68.97
1,5000,12,1.025689921,5.12E-60,1.929732605,8.37E-10,0.551446964,1.24E-80,68.17
1,5000,13,1.02032716,1.54E-64,1.870910775,1.02E-10,0.559801297,1.50E-83,72.96
1,5000,14,1.018700298,1.87E-62,2.123355731,2.05E-13,0.542757445,1.10E-77,63.75
1,5000,15,1.017932083,1.21E-60,2.106071203,4.10E-11,0.546722575,5.08E-79,71.06
1,5000,16,1.024122694,9.46E-59,1.957787254,1.75E-10,0.564037839,4.62E-85,74.87
1,5000,17,1.021170627,1.94E-61,2.062143248,8.97E-08,0.547294348,3.25E-79,64.53
1,5000,18,1.019412098,9.77E-61,2.01620223,6.66E-10,0.464626542,1.07E-54,50.02
1,5000,19,1.023802578,2.90E-55,2.177360173,1.54E-09,0.512538766,4.44E-68,63.34
1,5000,20,1.009911472,2.58E-59,2.034857427,1.04E-10,0.566331058,6.87E-86,53.69
1,5000,21,1.022986626,1.24E-57,1.838643893,8.04E-09,0.558817553,3.34E-83,76.95
1,5000,22,1.017853944,1.23E-67,2.145182291,4.30E-12,0.628368571,5.68E-111,70.44
1,5000,23,1.017214623,3.55E-60,2.045534315,6.82E-13,0.505277204,6.53E-66,63.5
