"condition","seeds","beta_ATE_est","beta_ATE_se","beta_ATE_p","beta_ITE_est","beta_ITE_se","beta_ITE_p"
"not ensembled","1931",1.02693098067775,0.0873234787367451,2.696045767453e-30,0.943623402372217,0.388988004357724,0.00772466781432929
"not ensembled","2562",1.02801235000609,0.0738610957302657,1.12068660311169e-40,1.37724401600331,0.348799116750067,4.20763965553551e-05
"not ensembled","8050",1.02132433381328,0.0756529605760328,1.42900960665615e-38,0.814040073016836,0.558234259439262,0.0725443740830279
"not ensembled","2824",1.04501951077584,0.0787703647500437,2.05050607616795e-37,0.525542486168437,0.448438018262618,0.120750402549021
"ensembled","1931, 2984, 1278, 9378, 5556",0.944357659320697,0.0781028685514385,8.30428884991956e-32,1.283413123766,0.385521700813495,0.000451682699482646
"ensembled","2562, 8034, 8540, 8574, 1570",0.992122762281134,0.073237440789661,8.37141622748342e-39,1.35210623770423,0.531273610094326,0.00553823490368809
"ensembled","8050, 7302, 5237, 3596, 6694",1.03122377447999,0.0793966866554551,4.71131992216573e-36,0.982899463545804,0.464523367277656,0.0172989021644649
"ensembled","2824, 8000, 1629, 3987, 8473",0.95547829811334,0.0846417501244043,3.38140250688199e-28,1.16064647651657,0.413005677054815,0.00252360222730033
